File name, Expose DP comm, Expose DP_EP comm, Expose TP comm, Expose_EP_comm, Expose_PP_comm, bubble time, total comp, total exposed comm, Total time
test1, 0 (0.00%), 0 (0.00%), 85608 (98.72%), 0 (0.00%), 0 (0.00%), 0 (0.00%), 1112 (1.28%), 85608 (98.72%), 86720
layer_name,test1,fwd compute,wg compute,ig compute,fwd exposed comm,wg exposed comm,ig exposed comm,fwd total comm,algbw,busbw,wg total comm,algbw,busbw,ig total comm,algbw,busbw,workload finished at
embedding_layer,test1,556.000000,0.001000,0.001000,5044.588000,0.000000,0.000000,5044.588000,3.097379,6.001171,0.000000,-nan,0.000000,0.000000,-nan,0.000000,86719.694000
embedding_layer,test1,556.000000,0.001000,0.001000,80563.096000,0.000000,0.000000,80563.096000,3.103158,6.012368,0.000000,-nan,0.000000,0.000000,-nan,0.000000,86719.694000
SUM,test1,1112.000000,0.002000,0.002000,85607.684000,0.000000,0.000000,85607.684000,NONE,NONE,0.000000,NONE,NONE,0.000000,NONE,NONE
total exposed comm,85607.690000,total comp,1112.004000,total time,86719.694000
