File name, Expose DP comm, Expose DP_EP comm, Expose TP comm, Expose_EP_comm, Expose_PP_comm, bubble time, total comp, total exposed comm, Total time
test1, 0 (0.00%), 0 (0.00%), 18156 (94.23%), 0 (0.00%), 0 (0.00%), 0 (0.00%), 1112 (5.77%), 18156 (94.23%), 19268
layer_name,test1,fwd compute,wg compute,ig compute,fwd exposed comm,wg exposed comm,ig exposed comm,fwd total comm,algbw,busbw,wg total comm,algbw,busbw,ig total comm,algbw,busbw,workload finished at
embedding_layer,test1,556.000000,0.001000,0.001000,1130.311000,0.000000,0.000000,1130.311000,13.823629,25.919306,0.000000,-nan,0.000000,0.000000,-nan,0.000000,19267.941000
embedding_layer,test1,556.000000,0.001000,0.001000,17025.620000,0.000000,0.000000,17025.620000,14.683753,27.532038,0.000000,-nan,0.000000,0.000000,-nan,0.000000,19267.941000
SUM,test1,1112.000000,0.002000,0.002000,18155.931000,0.000000,0.000000,18155.931000,NONE,NONE,0.000000,NONE,NONE,0.000000,NONE,NONE
total exposed comm,18155.937000,total comp,1112.004000,total time,19267.941000
