File name, Expose DP comm, Expose DP_EP comm, Expose TP comm, Expose_EP_comm, Expose_PP_comm, bubble time, total comp, total exposed comm, Total time
m4, 0 (0.00%), 0 (0.00%), 19877 (94.70%), 0 (0.00%), 0 (0.00%), 0 (0.00%), 1112 (5.30%), 19877 (94.70%), 20989
layer_name,m4,fwd compute,wg compute,ig compute,fwd exposed comm,wg exposed comm,ig exposed comm,fwd total comm,algbw,busbw,wg total comm,algbw,busbw,ig total comm,algbw,busbw,workload finished at
embedding_layer,m4,556.000000,0.001000,0.001000,1178.263000,0.000000,0.000000,1178.263000,13.261046,24.864462,0.000000,-nan,0.000000,0.000000,-nan,0.000000,20988.770000
embedding_layer,m4,556.000000,0.001000,0.001000,18698.497000,0.000000,0.000000,18698.497000,13.370059,25.068861,0.000000,-nan,0.000000,0.000000,-nan,0.000000,20988.770000
SUM,m4,1112.000000,0.002000,0.002000,19876.760000,0.000000,0.000000,19876.760000,NONE,NONE,0.000000,NONE,NONE,0.000000,NONE,NONE
total exposed comm,19876.766000,total comp,1112.004000,total time,20988.770000
