File name, Expose DP comm, Expose DP_EP comm, Expose TP comm, Expose_EP_comm, Expose_PP_comm, bubble time, total comp, total exposed comm, Total time
test1, 0 (0.00%), 0 (0.00%), 18043 (94.19%), 0 (0.00%), 0 (0.00%), 0 (0.00%), 1112 (5.81%), 18043 (94.19%), 19155
layer_name,test1,fwd compute,wg compute,ig compute,fwd exposed comm,wg exposed comm,ig exposed comm,fwd total comm,algbw,busbw,wg total comm,algbw,busbw,ig total comm,algbw,busbw,workload finished at
embedding_layer,test1,556.000000,0.001000,0.001000,1048.823000,0.000000,0.000000,1048.823000,14.897652,27.933098,0.000000,-nan,0.000000,0.000000,-nan,0.000000,19155.052000
embedding_layer,test1,556.000000,0.001000,0.001000,16994.219000,0.000000,0.000000,16994.219000,14.710885,27.582909,0.000000,-nan,0.000000,0.000000,-nan,0.000000,19155.052000
SUM,test1,1112.000000,0.002000,0.002000,18043.042000,0.000000,0.000000,18043.042000,NONE,NONE,0.000000,NONE,NONE,0.000000,NONE,NONE
total exposed comm,18043.048000,total comp,1112.004000,total time,19155.052000
