File name, Expose DP comm, Expose DP_EP comm, Expose TP comm, Expose_EP_comm, Expose_PP_comm, bubble time, total comp, total exposed comm, Total time
test1, 0 (0.00%), 0 (0.00%), 24200 (95.61%), 0 (0.00%), 0 (0.00%), 0 (0.00%), 1112 (4.39%), 24200 (95.61%), 25312
layer_name,test1,fwd compute,wg compute,ig compute,fwd exposed comm,wg exposed comm,ig exposed comm,fwd total comm,algbw,busbw,wg total comm,algbw,busbw,ig total comm,algbw,busbw,workload finished at
embedding_layer,test1,556.000000,0.001000,0.001000,1102.375000,0.000000,0.000000,1102.375000,14.173943,26.576141,0.000000,-nan,0.000000,0.000000,-nan,0.000000,25312.358000
embedding_layer,test1,556.000000,0.001000,0.001000,23097.973000,0.000000,0.000000,23097.973000,10.823461,20.293989,0.000000,-nan,0.000000,0.000000,-nan,0.000000,25312.358000
SUM,test1,1112.000000,0.002000,0.002000,24200.348000,0.000000,0.000000,24200.348000,NONE,NONE,0.000000,NONE,NONE,0.000000,NONE,NONE
total exposed comm,24200.354000,total comp,1112.004000,total time,25312.358000
