File name, Expose DP comm, Expose DP_EP comm, Expose TP comm, Expose_EP_comm, Expose_PP_comm, bubble time, total comp, total exposed comm, Total time
test1, 0 (0.00%), 0 (0.00%), 13865 (92.58%), 0 (0.00%), 0 (0.00%), 0 (0.00%), 1112 (7.42%), 13865 (92.58%), 14977
layer_name,test1,fwd compute,wg compute,ig compute,fwd exposed comm,wg exposed comm,ig exposed comm,fwd total comm,algbw,busbw,wg total comm,algbw,busbw,ig total comm,algbw,busbw,workload finished at
embedding_layer,test1,556.000000,0.001000,0.001000,904.875000,0.000000,0.000000,904.875000,17.267578,32.376709,0.000000,-nan,0.000000,0.000000,-nan,0.000000,14977.424000
embedding_layer,test1,556.000000,0.001000,0.001000,12960.539000,0.000000,0.000000,12960.539000,19.289322,36.167480,0.000000,-nan,0.000000,0.000000,-nan,0.000000,14977.424000
SUM,test1,1112.000000,0.002000,0.002000,13865.414000,0.000000,0.000000,13865.414000,NONE,NONE,0.000000,NONE,NONE,0.000000,NONE,NONE
total exposed comm,13865.420000,total comp,1112.004000,total time,14977.424000
