File name, Expose DP comm, Expose DP_EP comm, Expose TP comm, Expose_EP_comm, Expose_PP_comm, bubble time, total comp, total exposed comm, Total time
test1, 0 (0.00%), 0 (0.00%), 11012 (90.83%), 0 (0.00%), 0 (0.00%), 0 (0.00%), 1112 (9.17%), 11012 (90.83%), 12124
layer_name,test1,fwd compute,wg compute,ig compute,fwd exposed comm,wg exposed comm,ig exposed comm,fwd total comm,algbw,busbw,wg total comm,algbw,busbw,ig total comm,algbw,busbw,workload finished at
embedding_layer,test1,556.000000,0.001000,0.001000,504.952000,0.000000,0.000000,504.952000,30.943535,58.019127,0.000000,-nan,0.000000,0.000000,-nan,0.000000,12124.049000
embedding_layer,test1,556.000000,0.001000,0.001000,10507.087000,0.000000,0.000000,10507.087000,23.793465,44.612747,0.000000,-nan,0.000000,0.000000,-nan,0.000000,12124.049000
SUM,test1,1112.000000,0.002000,0.002000,11012.039000,0.000000,0.000000,11012.039000,NONE,NONE,0.000000,NONE,NONE,0.000000,NONE,NONE
total exposed comm,11012.045000,total comp,1112.004000,total time,12124.049000
