File name, Expose DP comm, Expose DP_EP comm, Expose TP comm, Expose_EP_comm, Expose_PP_comm, bubble time, total comp, total exposed comm, Total time
m4, 0 (0.00%), 0 (0.00%), 16235 (93.59%), 0 (0.00%), 0 (0.00%), 0 (0.00%), 1112 (6.41%), 16235 (93.59%), 17347
layer_name,m4,fwd compute,wg compute,ig compute,fwd exposed comm,wg exposed comm,ig exposed comm,fwd total comm,algbw,busbw,wg total comm,algbw,busbw,ig total comm,algbw,busbw,workload finished at
embedding_layer,m4,556.000000,0.001000,0.001000,993.012000,0.000000,0.000000,993.012000,15.734956,29.503042,0.000000,-nan,0.000000,0.000000,-nan,0.000000,17347.337000
embedding_layer,m4,556.000000,0.001000,0.001000,15242.315000,0.000000,0.000000,15242.315000,16.401709,30.753204,0.000000,-nan,0.000000,0.000000,-nan,0.000000,17347.337000
SUM,m4,1112.000000,0.002000,0.002000,16235.327000,0.000000,0.000000,16235.327000,NONE,NONE,0.000000,NONE,NONE,0.000000,NONE,NONE
total exposed comm,16235.333000,total comp,1112.004000,total time,17347.337000
