File name, Expose DP comm, Expose DP_EP comm, Expose TP comm, Expose_EP_comm, Expose_PP_comm, bubble time, total comp, total exposed comm, Total time
test1, 0 (0.00%), 0 (0.00%), 13457 (92.37%), 0 (0.00%), 0 (0.00%), 0 (0.00%), 1112 (7.63%), 13457 (92.37%), 14569
layer_name,test1,fwd compute,wg compute,ig compute,fwd exposed comm,wg exposed comm,ig exposed comm,fwd total comm,algbw,busbw,wg total comm,algbw,busbw,ig total comm,algbw,busbw,workload finished at
embedding_layer,test1,556.000000,0.001000,0.001000,942.024000,0.000000,0.000000,942.024000,16.586626,31.099924,0.000000,-nan,0.000000,0.000000,-nan,0.000000,14568.800000
embedding_layer,test1,556.000000,0.001000,0.001000,12514.766000,0.000000,0.000000,12514.766000,19.976402,37.455753,0.000000,-nan,0.000000,0.000000,-nan,0.000000,14568.800000
SUM,test1,1112.000000,0.002000,0.002000,13456.790000,0.000000,0.000000,13456.790000,NONE,NONE,0.000000,NONE,NONE,0.000000,NONE,NONE
total exposed comm,13456.796000,total comp,1112.004000,total time,14568.800000
