File name, Expose DP comm, Expose DP_EP comm, Expose TP comm, Expose_EP_comm, Expose_PP_comm, bubble time, total comp, total exposed comm, Total time
test1, 0 (0.00%), 0 (0.00%), 8670 (88.63%), 0 (0.00%), 0 (0.00%), 0 (0.00%), 1112 (11.37%), 8670 (88.63%), 9782
layer_name,test1,fwd compute,wg compute,ig compute,fwd exposed comm,wg exposed comm,ig exposed comm,fwd total comm,algbw,busbw,wg total comm,algbw,busbw,ig total comm,algbw,busbw,workload finished at
embedding_layer,test1,556.000000,0.001000,0.001000,704.022000,0.000000,0.000000,704.022000,22.193909,41.613579,0.000000,-nan,0.000000,0.000000,-nan,0.000000,9782.363000
embedding_layer,test1,556.000000,0.001000,0.001000,7966.331000,0.000000,0.000000,7966.331000,31.382076,58.841393,0.000000,-nan,0.000000,0.000000,-nan,0.000000,9782.363000
SUM,test1,1112.000000,0.002000,0.002000,8670.353000,0.000000,0.000000,8670.353000,NONE,NONE,0.000000,NONE,NONE,0.000000,NONE,NONE
total exposed comm,8670.359000,total comp,1112.004000,total time,9782.363000
