File name, Expose DP comm, Expose DP_EP comm, Expose TP comm, Expose_EP_comm, Expose_PP_comm, bubble time, total comp, total exposed comm, Total time
test1, 0 (0.00%), 0 (0.00%), 18059 (94.20%), 0 (0.00%), 0 (0.00%), 0 (0.00%), 1112 (5.80%), 18059 (94.20%), 19171
layer_name,test1,fwd compute,wg compute,ig compute,fwd exposed comm,wg exposed comm,ig exposed comm,fwd total comm,algbw,busbw,wg total comm,algbw,busbw,ig total comm,algbw,busbw,workload finished at
embedding_layer,test1,556.000000,0.001000,0.001000,988.392000,0.000000,0.000000,988.392000,15.808505,29.640947,0.000000,-nan,0.000000,0.000000,-nan,0.000000,19171.379000
embedding_layer,test1,556.000000,0.001000,0.001000,17070.977000,0.000000,0.000000,17070.977000,14.644739,27.458885,0.000000,-nan,0.000000,0.000000,-nan,0.000000,19171.379000
SUM,test1,1112.000000,0.002000,0.002000,18059.369000,0.000000,0.000000,18059.369000,NONE,NONE,0.000000,NONE,NONE,0.000000,NONE,NONE
total exposed comm,18059.375000,total comp,1112.004000,total time,19171.379000
