File name, Expose DP comm, Expose DP_EP comm, Expose TP comm, Expose_EP_comm, Expose_PP_comm, bubble time, total comp, total exposed comm, Total time
test1, 0 (0.00%), 0 (0.00%), 42872 (97.47%), 0 (0.00%), 0 (0.00%), 0 (0.00%), 1112 (2.53%), 42872 (97.47%), 43984
layer_name,test1,fwd compute,wg compute,ig compute,fwd exposed comm,wg exposed comm,ig exposed comm,fwd total comm,algbw,busbw,wg total comm,algbw,busbw,ig total comm,algbw,busbw,workload finished at
embedding_layer,test1,556.000000,0.001000,0.001000,2548.651000,0.000000,0.000000,2548.651000,6.130694,11.878221,0.000000,-nan,0.000000,0.000000,-nan,0.000000,43984.477000
embedding_layer,test1,556.000000,0.001000,0.001000,40323.816000,0.000000,0.000000,40323.816000,6.199810,12.012132,0.000000,-nan,0.000000,0.000000,-nan,0.000000,43984.477000
SUM,test1,1112.000000,0.002000,0.002000,42872.467000,0.000000,0.000000,42872.467000,NONE,NONE,0.000000,NONE,NONE,0.000000,NONE,NONE
total exposed comm,42872.473000,total comp,1112.004000,total time,43984.477000
