File name, Expose DP comm, Expose DP_EP comm, Expose TP comm, Expose_EP_comm, Expose_PP_comm, bubble time, total comp, total exposed comm, Total time
test1, 0 (0.00%), 0 (0.00%), 24101 (95.59%), 0 (0.00%), 0 (0.00%), 0 (0.00%), 1112 (4.41%), 24101 (95.59%), 25213
layer_name,test1,fwd compute,wg compute,ig compute,fwd exposed comm,wg exposed comm,ig exposed comm,fwd total comm,algbw,busbw,wg total comm,algbw,busbw,ig total comm,algbw,busbw,workload finished at
embedding_layer,test1,556.000000,0.001000,0.001000,1520.402000,0.000000,0.000000,1520.402000,10.276887,19.911469,0.000000,-nan,0.000000,0.000000,-nan,0.000000,25213.182000
embedding_layer,test1,556.000000,0.001000,0.001000,22580.770000,0.000000,0.000000,22580.770000,11.071367,21.450773,0.000000,-nan,0.000000,0.000000,-nan,0.000000,25213.182000
SUM,test1,1112.000000,0.002000,0.002000,24101.172000,0.000000,0.000000,24101.172000,NONE,NONE,0.000000,NONE,NONE,0.000000,NONE,NONE
total exposed comm,24101.178000,total comp,1112.004000,total time,25213.182000
