File name, Expose DP comm, Expose DP_EP comm, Expose TP comm, Expose_EP_comm, Expose_PP_comm, bubble time, total comp, total exposed comm, Total time
m4, 0 (0.00%), 0 (0.00%), 25605 (95.84%), 0 (0.00%), 0 (0.00%), 0 (0.00%), 1112 (4.16%), 25605 (95.84%), 26717
layer_name,m4,fwd compute,wg compute,ig compute,fwd exposed comm,wg exposed comm,ig exposed comm,fwd total comm,algbw,busbw,wg total comm,algbw,busbw,ig total comm,algbw,busbw,workload finished at
embedding_layer,m4,556.000000,0.001000,0.001000,1436.616000,0.000000,0.000000,1436.616000,10.876254,20.392977,0.000000,-nan,0.000000,0.000000,-nan,0.000000,26717.047000
embedding_layer,m4,556.000000,0.001000,0.001000,24168.421000,0.000000,0.000000,24168.421000,10.344077,19.395145,0.000000,-nan,0.000000,0.000000,-nan,0.000000,26717.047000
SUM,m4,1112.000000,0.002000,0.002000,25605.037000,0.000000,0.000000,25605.037000,NONE,NONE,0.000000,NONE,NONE,0.000000,NONE,NONE
total exposed comm,25605.043000,total comp,1112.004000,total time,26717.047000
