File name, Expose DP comm, Expose DP_EP comm, Expose TP comm, Expose_EP_comm, Expose_PP_comm, bubble time, total comp, total exposed comm, Total time
test1, 0 (0.00%), 0 (0.00%), 15922 (93.47%), 0 (0.00%), 0 (0.00%), 0 (0.00%), 1112 (6.53%), 15923 (93.47%), 17035
layer_name,test1,fwd compute,wg compute,ig compute,fwd exposed comm,wg exposed comm,ig exposed comm,fwd total comm,algbw,busbw,wg total comm,algbw,busbw,ig total comm,algbw,busbw,workload finished at
embedding_layer,test1,556.000000,0.001000,0.001000,981.006000,0.000000,0.000000,981.006000,15.927527,29.864115,0.000000,-nan,0.000000,0.000000,-nan,0.000000,17034.507000
embedding_layer,test1,556.000000,0.001000,0.001000,14941.491000,0.000000,0.000000,14941.491000,16.731932,31.372372,0.000000,-nan,0.000000,0.000000,-nan,0.000000,17034.507000
SUM,test1,1112.000000,0.002000,0.002000,15922.497000,0.000000,0.000000,15922.497000,NONE,NONE,0.000000,NONE,NONE,0.000000,NONE,NONE
total exposed comm,15922.503000,total comp,1112.004000,total time,17034.507000
