File name, Expose DP comm, Expose DP_EP comm, Expose TP comm, Expose_EP_comm, Expose_PP_comm, bubble time, total comp, total exposed comm, Total time
m4, 0 (0.00%), 0 (0.00%), 21797 (95.15%), 0 (0.00%), 0 (0.00%), 0 (0.00%), 1112 (4.85%), 21797 (95.15%), 22909
layer_name,m4,fwd compute,wg compute,ig compute,fwd exposed comm,wg exposed comm,ig exposed comm,fwd total comm,algbw,busbw,wg total comm,algbw,busbw,ig total comm,algbw,busbw,workload finished at
embedding_layer,m4,556.000000,0.001000,0.001000,1246.728000,0.000000,0.000000,1246.728000,12.532805,23.499010,0.000000,-nan,0.000000,0.000000,-nan,0.000000,22909.021000
embedding_layer,m4,556.000000,0.001000,0.001000,20550.283000,0.000000,0.000000,20550.283000,12.165282,22.809904,0.000000,-nan,0.000000,0.000000,-nan,0.000000,22909.021000
SUM,m4,1112.000000,0.002000,0.002000,21797.011000,0.000000,0.000000,21797.011000,NONE,NONE,0.000000,NONE,NONE,0.000000,NONE,NONE
total exposed comm,21797.017000,total comp,1112.004000,total time,22909.021000
