File name, Expose DP comm, Expose DP_EP comm, Expose TP comm, Expose_EP_comm, Expose_PP_comm, bubble time, total comp, total exposed comm, Total time
test1, 0 (0.00%), 0 (0.00%), 14066 (92.67%), 0 (0.00%), 0 (0.00%), 0 (0.00%), 1112 (7.33%), 14066 (92.67%), 15178
layer_name,test1,fwd compute,wg compute,ig compute,fwd exposed comm,wg exposed comm,ig exposed comm,fwd total comm,algbw,busbw,wg total comm,algbw,busbw,ig total comm,algbw,busbw,workload finished at
embedding_layer,test1,556.000000,0.001000,0.001000,1012.561000,0.000000,0.000000,1012.561000,15.431170,28.933443,0.000000,-nan,0.000000,0.000000,-nan,0.000000,15177.844000
embedding_layer,test1,556.000000,0.001000,0.001000,13053.273000,0.000000,0.000000,13053.273000,19.152285,35.910534,0.000000,-nan,0.000000,0.000000,-nan,0.000000,15177.844000
SUM,test1,1112.000000,0.002000,0.002000,14065.834000,0.000000,0.000000,14065.834000,NONE,NONE,0.000000,NONE,NONE,0.000000,NONE,NONE
total exposed comm,14065.840000,total comp,1112.004000,total time,15177.844000
