File name, Expose DP comm, Expose DP_EP comm, Expose TP comm, Expose_EP_comm, Expose_PP_comm, bubble time, total comp, total exposed comm, Total time
test1, 0 (0.00%), 0 (0.00%), 10535 (90.45%), 0 (0.00%), 0 (0.00%), 0 (0.00%), 1112 (9.55%), 10535 (90.45%), 11647
layer_name,test1,fwd compute,wg compute,ig compute,fwd exposed comm,wg exposed comm,ig exposed comm,fwd total comm,algbw,busbw,wg total comm,algbw,busbw,ig total comm,algbw,busbw,workload finished at
embedding_layer,test1,556.000000,0.001000,0.001000,423.131000,0.000000,0.000000,423.131000,36.927097,69.238304,0.000000,-nan,0.000000,0.000000,-nan,0.000000,11647.492000
embedding_layer,test1,556.000000,0.001000,0.001000,10112.351000,0.000000,0.000000,10112.351000,24.722242,46.354206,0.000000,-nan,0.000000,0.000000,-nan,0.000000,11647.492000
SUM,test1,1112.000000,0.002000,0.002000,10535.482000,0.000000,0.000000,10535.482000,NONE,NONE,0.000000,NONE,NONE,0.000000,NONE,NONE
total exposed comm,10535.488000,total comp,1112.004000,total time,11647.492000
