File name, Expose DP comm, Expose DP_EP comm, Expose TP comm, Expose_EP_comm, Expose_PP_comm, bubble time, total comp, total exposed comm, Total time
test1, 0 (0.00%), 0 (0.00%), 6764 (85.88%), 0 (0.00%), 0 (0.00%), 0 (0.00%), 1112 (14.12%), 6764 (85.88%), 7876
layer_name,test1,fwd compute,wg compute,ig compute,fwd exposed comm,wg exposed comm,ig exposed comm,fwd total comm,algbw,busbw,wg total comm,algbw,busbw,ig total comm,algbw,busbw,workload finished at
embedding_layer,test1,556.000000,0.001000,0.001000,368.849000,0.000000,0.000000,368.849000,42.361507,79.427826,0.000000,-nan,0.000000,0.000000,-nan,0.000000,7875.957000
embedding_layer,test1,556.000000,0.001000,0.001000,6395.098000,0.000000,0.000000,6395.098000,39.092442,73.298325,0.000000,-nan,0.000000,0.000000,-nan,0.000000,7875.957000
SUM,test1,1112.000000,0.002000,0.002000,6763.947000,0.000000,0.000000,6763.947000,NONE,NONE,0.000000,NONE,NONE,0.000000,NONE,NONE
total exposed comm,6763.953000,total comp,1112.004000,total time,7875.957000
