# Gray Failure Topology Metadata
# Format: filename, num_degraded_gpus, reduction_factor, degraded_gpu_ids

gray_topo_N13_R6.txt, 13, 1/6, [0,1,2,3,4,5,6,7,16,17,18,19,20]
gray_topo_N13_R7.txt, 13, 1/7, [0,1,2,3,4,5,6,7,16,17,18,19,20]
gray_topo_N13_R8.txt, 13, 1/8, [0,1,2,3,4,5,6,7,16,17,18,19,20]
gray_topo_N13_R9.txt, 13, 1/9, [0,1,2,3,4,5,6,7,16,17,18,19,20]
gray_topo_N13_R10.txt, 13, 1/10, [0,1,2,3,4,5,6,7,16,17,18,19,20]
gray_topo_N14_R4.txt, 14, 1/4, [0,1,2,3,4,5,6,7,16,17,18,19,20,21]
gray_topo_N14_R5.txt, 14, 1/5, [0,1,2,3,4,5,6,7,16,17,18,19,20,21]
gray_topo_N14_R6.txt, 14, 1/6, [0,1,2,3,4,5,6,7,16,17,18,19,20,21]
gray_topo_N14_R7.txt, 14, 1/7, [0,1,2,3,4,5,6,7,16,17,18,19,20,21]
gray_topo_N14_R8.txt, 14, 1/8, [0,1,2,3,4,5,6,7,16,17,18,19,20,21]
gray_topo_N14_R9.txt, 14, 1/9, [0,1,2,3,4,5,6,7,16,17,18,19,20,21]
gray_topo_N14_R10.txt, 14, 1/10, [0,1,2,3,4,5,6,7,16,17,18,19,20,21]
gray_topo_N15_R4.txt, 15, 1/4, [0,1,2,3,4,5,6,7,16,17,18,19,20,21,22]
gray_topo_N15_R5.txt, 15, 1/5, [0,1,2,3,4,5,6,7,16,17,18,19,20,21,22]
gray_topo_N15_R6.txt, 15, 1/6, [0,1,2,3,4,5,6,7,16,17,18,19,20,21,22]
gray_topo_N15_R7.txt, 15, 1/7, [0,1,2,3,4,5,6,7,16,17,18,19,20,21,22]
gray_topo_N15_R8.txt, 15, 1/8, [0,1,2,3,4,5,6,7,16,17,18,19,20,21,22]
gray_topo_N15_R9.txt, 15, 1/9, [0,1,2,3,4,5,6,7,16,17,18,19,20,21,22]
gray_topo_N15_R10.txt, 15, 1/10, [0,1,2,3,4,5,6,7,16,17,18,19,20,21,22]
gray_topo_N16_R4.txt, 16, 1/4, [0,1,2,3,4,5,6,7,16,17,18,19,20,21,22,23]
gray_topo_N16_R5.txt, 16, 1/5, [0,1,2,3,4,5,6,7,16,17,18,19,20,21,22,23]
gray_topo_N16_R6.txt, 16, 1/6, [0,1,2,3,4,5,6,7,16,17,18,19,20,21,22,23]
gray_topo_N16_R7.txt, 16, 1/7, [0,1,2,3,4,5,6,7,16,17,18,19,20,21,22,23]
gray_topo_N16_R8.txt, 16, 1/8, [0,1,2,3,4,5,6,7,16,17,18,19,20,21,22,23]
gray_topo_N16_R9.txt, 16, 1/9, [0,1,2,3,4,5,6,7,16,17,18,19,20,21,22,23]
gray_topo_N16_R10.txt, 16, 1/10, [0,1,2,3,4,5,6,7,16,17,18,19,20,21,22,23]
