File name, Expose DP comm, Expose DP_EP comm, Expose TP comm, Expose_EP_comm, Expose_PP_comm, bubble time, total comp, total exposed comm, Total time
m4, 0 (0.00%), 0 (0.00%), 8748 (88.72%), 0 (0.00%), 0 (0.00%), 0 (0.00%), 1112 (11.28%), 8748 (88.72%), 9860
layer_name,m4,fwd compute,wg compute,ig compute,fwd exposed comm,wg exposed comm,ig exposed comm,fwd total comm,algbw,busbw,wg total comm,algbw,busbw,ig total comm,algbw,busbw,workload finished at
embedding_layer,m4,556.000000,0.001000,0.001000,680.170000,0.000000,0.000000,680.170000,22.972198,43.072872,0.000000,-nan,0.000000,0.000000,-nan,0.000000,9860.326000
embedding_layer,m4,556.000000,0.001000,0.001000,8068.146000,0.000000,0.000000,8068.146000,30.986053,58.098850,0.000000,-nan,0.000000,0.000000,-nan,0.000000,9860.326000
SUM,m4,1112.000000,0.002000,0.002000,8748.316000,0.000000,0.000000,8748.316000,NONE,NONE,0.000000,NONE,NONE,0.000000,NONE,NONE
total exposed comm,8748.322000,total comp,1112.004000,total time,9860.326000
