File name, Expose DP comm, Expose DP_EP comm, Expose TP comm, Expose_EP_comm, Expose_PP_comm, bubble time, total comp, total exposed comm, Total time
test1, 0 (0.00%), 0 (0.00%), 5732 (83.75%), 0 (0.00%), 0 (0.00%), 0 (0.00%), 1112 (16.25%), 5732 (83.75%), 6844
layer_name,test1,fwd compute,wg compute,ig compute,fwd exposed comm,wg exposed comm,ig exposed comm,fwd total comm,algbw,busbw,wg total comm,algbw,busbw,ig total comm,algbw,busbw,workload finished at
embedding_layer,test1,556.000000,0.001000,0.001000,417.312000,0.000000,0.000000,417.312000,37.442009,70.203766,0.000000,-nan,0.000000,0.000000,-nan,0.000000,6844.235000
embedding_layer,test1,556.000000,0.001000,0.001000,5314.913000,0.000000,0.000000,5314.913000,47.037460,88.195236,0.000000,-nan,0.000000,0.000000,-nan,0.000000,6844.235000
SUM,test1,1112.000000,0.002000,0.002000,5732.225000,0.000000,0.000000,5732.225000,NONE,NONE,0.000000,NONE,NONE,0.000000,NONE,NONE
total exposed comm,5732.231000,total comp,1112.004000,total time,6844.235000
