File name, Expose DP comm, Expose DP_EP comm, Expose TP comm, Expose_EP_comm, Expose_PP_comm, bubble time, total comp, total exposed comm, Total time
test1, 0 (0.00%), 0 (0.00%), 14190 (92.73%), 0 (0.00%), 0 (0.00%), 0 (0.00%), 1112 (7.27%), 14190 (92.73%), 15302
layer_name,test1,fwd compute,wg compute,ig compute,fwd exposed comm,wg exposed comm,ig exposed comm,fwd total comm,algbw,busbw,wg total comm,algbw,busbw,ig total comm,algbw,busbw,workload finished at
embedding_layer,test1,556.000000,0.001000,0.001000,1026.300000,0.000000,0.000000,1026.300000,15.224593,28.546112,0.000000,-nan,0.000000,0.000000,-nan,0.000000,15302.203000
embedding_layer,test1,556.000000,0.001000,0.001000,13163.893000,0.000000,0.000000,13163.893000,18.991343,35.608768,0.000000,-nan,0.000000,0.000000,-nan,0.000000,15302.203000
SUM,test1,1112.000000,0.002000,0.002000,14190.193000,0.000000,0.000000,14190.193000,NONE,NONE,0.000000,NONE,NONE,0.000000,NONE,NONE
total exposed comm,14190.199000,total comp,1112.004000,total time,15302.203000
