File name, Expose DP comm, Expose DP_EP comm, Expose TP comm, Expose_EP_comm, Expose_PP_comm, bubble time, total comp, total exposed comm, Total time
test1, 0 (0.00%), 0 (0.00%), 8024 (87.83%), 0 (0.00%), 0 (0.00%), 0 (0.00%), 1112 (12.17%), 8024 (87.83%), 9136
layer_name,test1,fwd compute,wg compute,ig compute,fwd exposed comm,wg exposed comm,ig exposed comm,fwd total comm,algbw,busbw,wg total comm,algbw,busbw,ig total comm,algbw,busbw,workload finished at
embedding_layer,test1,556.000000,0.001000,0.001000,631.285000,0.000000,0.000000,631.285000,24.751102,46.408318,0.000000,-nan,0.000000,0.000000,-nan,0.000000,9135.935000
embedding_layer,test1,556.000000,0.001000,0.001000,7392.640000,0.000000,0.000000,7392.640000,33.817417,63.407658,0.000000,-nan,0.000000,0.000000,-nan,0.000000,9135.935000
SUM,test1,1112.000000,0.002000,0.002000,8023.925000,0.000000,0.000000,8023.925000,NONE,NONE,0.000000,NONE,NONE,0.000000,NONE,NONE
total exposed comm,8023.931000,total comp,1112.004000,total time,9135.935000
