File name, Expose DP comm, Expose DP_EP comm, Expose TP comm, Expose_EP_comm, Expose_PP_comm, bubble time, total comp, total exposed comm, Total time
m4, 0 (0.00%), 0 (0.00%), 18803 (94.42%), 0 (0.00%), 0 (0.00%), 0 (0.00%), 1112 (5.58%), 18803 (94.42%), 19915
layer_name,m4,fwd compute,wg compute,ig compute,fwd exposed comm,wg exposed comm,ig exposed comm,fwd total comm,algbw,busbw,wg total comm,algbw,busbw,ig total comm,algbw,busbw,workload finished at
embedding_layer,m4,556.000000,0.001000,0.001000,1071.228000,0.000000,0.000000,1071.228000,14.586063,27.348869,0.000000,-nan,0.000000,0.000000,-nan,0.000000,19914.570000
embedding_layer,m4,556.000000,0.001000,0.001000,17731.332000,0.000000,0.000000,17731.332000,14.099336,26.436255,0.000000,-nan,0.000000,0.000000,-nan,0.000000,19914.570000
SUM,m4,1112.000000,0.002000,0.002000,18802.560000,0.000000,0.000000,18802.560000,NONE,NONE,0.000000,NONE,NONE,0.000000,NONE,NONE
total exposed comm,18802.566000,total comp,1112.004000,total time,19914.570000
