File name, Expose DP comm, Expose DP_EP comm, Expose TP comm, Expose_EP_comm, Expose_PP_comm, bubble time, total comp, total exposed comm, Total time
test1, 0 (0.00%), 0 (0.00%), 10572 (90.48%), 0 (0.00%), 0 (0.00%), 0 (0.00%), 1112 (9.52%), 10572 (90.48%), 11684
layer_name,test1,fwd compute,wg compute,ig compute,fwd exposed comm,wg exposed comm,ig exposed comm,fwd total comm,algbw,busbw,wg total comm,algbw,busbw,ig total comm,algbw,busbw,workload finished at
embedding_layer,test1,556.000000,0.001000,0.001000,611.748000,0.000000,0.000000,611.748000,25.541563,47.890430,0.000000,-nan,0.000000,0.000000,-nan,0.000000,11684.165000
embedding_layer,test1,556.000000,0.001000,0.001000,9960.407000,0.000000,0.000000,9960.407000,25.099377,47.061333,0.000000,-nan,0.000000,0.000000,-nan,0.000000,11684.165000
SUM,test1,1112.000000,0.002000,0.002000,10572.155000,0.000000,0.000000,10572.155000,NONE,NONE,0.000000,NONE,NONE,0.000000,NONE,NONE
total exposed comm,10572.161000,total comp,1112.004000,total time,11684.165000
