File name, Expose DP comm, Expose DP_EP comm, Expose TP comm, Expose_EP_comm, Expose_PP_comm, bubble time, total comp, total exposed comm, Total time
test1, 0 (0.00%), 0 (0.00%), 20350 (94.82%), 0 (0.00%), 0 (0.00%), 0 (0.00%), 1112 (5.18%), 20350 (94.82%), 21462
layer_name,test1,fwd compute,wg compute,ig compute,fwd exposed comm,wg exposed comm,ig exposed comm,fwd total comm,algbw,busbw,wg total comm,algbw,busbw,ig total comm,algbw,busbw,workload finished at
embedding_layer,test1,556.000000,0.001000,0.001000,701.602000,0.000000,0.000000,701.602000,22.270460,41.757114,0.000000,-nan,0.000000,0.000000,-nan,0.000000,21462.216000
embedding_layer,test1,556.000000,0.001000,0.001000,19648.604000,0.000000,0.000000,19648.604000,12.723550,23.856655,0.000000,-nan,0.000000,0.000000,-nan,0.000000,21462.216000
SUM,test1,1112.000000,0.002000,0.002000,20350.206000,0.000000,0.000000,20350.206000,NONE,NONE,0.000000,NONE,NONE,0.000000,NONE,NONE
total exposed comm,20350.212000,total comp,1112.004000,total time,21462.216000
