File name, Expose DP comm, Expose DP_EP comm, Expose TP comm, Expose_EP_comm, Expose_PP_comm, bubble time, total comp, total exposed comm, Total time
test1, 0 (0.00%), 0 (0.00%), 8303 (88.19%), 0 (0.00%), 0 (0.00%), 0 (0.00%), 1112 (11.81%), 8303 (88.19%), 9415
layer_name,test1,fwd compute,wg compute,ig compute,fwd exposed comm,wg exposed comm,ig exposed comm,fwd total comm,algbw,busbw,wg total comm,algbw,busbw,ig total comm,algbw,busbw,workload finished at
embedding_layer,test1,556.000000,0.001000,0.001000,542.135000,0.000000,0.000000,542.135000,28.821234,54.039814,0.000000,-nan,0.000000,0.000000,-nan,0.000000,9415.330000
embedding_layer,test1,556.000000,0.001000,0.001000,7761.185000,0.000000,0.000000,7761.185000,32.211575,60.396702,0.000000,-nan,0.000000,0.000000,-nan,0.000000,9415.330000
SUM,test1,1112.000000,0.002000,0.002000,8303.320000,0.000000,0.000000,8303.320000,NONE,NONE,0.000000,NONE,NONE,0.000000,NONE,NONE
total exposed comm,8303.326000,total comp,1112.004000,total time,9415.330000
