File name, Expose DP comm, Expose DP_EP comm, Expose TP comm, Expose_EP_comm, Expose_PP_comm, bubble time, total comp, total exposed comm, Total time
FlowSim_test, 156239 (50.06%), 0 (0.00%), 2453 (0.79%), 13773 (4.41%), 0 (0.00%), 20562 (6.59%), 40829 (13.08%), 271276 (86.92%), 312105
layer_name,FlowSim_test,fwd compute,wg compute,ig compute,fwd exposed comm,wg exposed comm,ig exposed comm,fwd total comm,algbw,busbw,wg total comm,algbw,busbw,ig total comm,algbw,busbw,workload finished at
mlp_moelayer_18,FlowSim_test,100.000000,1.000000,100.000000,40.860000,0.000000,40.860000,40.860000,286.802490,250.952179,0.000000,-nan,0.000000,40.860000,286.802490,250.952179,312105.498000
mlp_moelayer_19,FlowSim_test,100.000000,1.000000,100.000000,40.860000,0.000000,40.860000,40.860000,286.802490,250.952179,0.000000,-nan,0.000000,40.860000,286.802490,250.952179,312105.498000
mlp_moelayer_20,FlowSim_test,50.000000,1.000000,50.000000,382.597000,0.000000,382.597000,382.597000,15.314744,11.486058,0.000000,-nan,0.000000,382.597000,15.314744,11.486058,312105.498000
mlp_moelayer_21,FlowSim_test,25.000000,1.000000,25.000000,8.747000,0.000000,8.747000,8.747000,167.468124,146.534607,0.000000,-nan,0.000000,8.747000,167.468124,146.534607,312105.498000
attention_column_4,FlowSim_test,245.117000,122.558000,122.558000,13.335000,0.000000,8.747000,13.335000,219.699097,192.236710,0.000000,-nan,0.000000,8.747000,167.468124,146.534607,312105.498000
attention_row_4,FlowSim_test,245.117000,122.558000,122.558000,13.335000,0.000000,13.335000,13.335000,219.699097,192.236710,0.000000,-nan,0.000000,13.335000,219.699097,192.236710,312105.498000
mlp_moelayer_22,FlowSim_test,1112.273000,1.000000,1112.273000,4.924000,0.000000,4.924000,4.924000,18.593163,16.269016,0.000000,-nan,0.000000,4.924000,18.593163,16.269016,312105.498000
mlp_moelayer_23,FlowSim_test,25.000000,1.000000,25.000000,8.747000,0.000000,8.747000,8.747000,167.468124,146.534607,0.000000,-nan,0.000000,8.747000,167.468124,146.534607,312105.498000
mlp_moelayer_24,FlowSim_test,50.000000,1.000000,50.000000,382.597000,0.000000,382.597000,382.597000,15.314744,11.486058,0.000000,-nan,0.000000,382.597000,15.314744,11.486058,312105.498000
mlp_moelayer_25,FlowSim_test,100.000000,1.000000,100.000000,40.860000,0.000000,40.860000,40.860000,286.802490,250.952179,0.000000,-nan,0.000000,40.860000,286.802490,250.952179,312105.498000
mlp_moelayer_26,FlowSim_test,100.000000,1.000000,100.000000,40.860000,0.000000,40.860000,40.860000,286.802490,250.952179,0.000000,-nan,0.000000,40.860000,286.802490,250.952179,312105.498000
mlp_moelayer_27,FlowSim_test,50.000000,1.000000,50.000000,382.597000,0.000000,382.597000,382.597000,15.314744,11.486058,0.000000,-nan,0.000000,382.597000,15.314744,11.486058,312105.498000
mlp_moelayer_28,FlowSim_test,25.000000,1.000000,25.000000,8.747000,0.000000,8.747000,8.747000,167.468124,146.534607,0.000000,-nan,0.000000,8.747000,167.468124,146.534607,312105.498000
attention_column_5,FlowSim_test,245.117000,122.558000,122.558000,13.335000,0.000000,8.747000,13.335000,219.699097,192.236710,0.000000,-nan,0.000000,8.747000,167.468124,146.534607,312105.498000
attention_row_5,FlowSim_test,245.117000,122.558000,122.558000,13.335000,0.000000,13.335000,13.335000,219.699097,192.236710,0.000000,-nan,0.000000,13.335000,219.699097,192.236710,312105.498000
mlp_moelayer_29,FlowSim_test,1112.273000,1.000000,1112.273000,4.924000,0.000000,4.924000,4.924000,18.593163,16.269016,0.000000,-nan,0.000000,4.924000,18.593163,16.269016,312105.498000
mlp_moelayer_30,FlowSim_test,25.000000,1.000000,25.000000,8.747000,0.000000,8.747000,8.747000,167.468124,146.534607,0.000000,-nan,0.000000,8.747000,167.468124,146.534607,312105.498000
mlp_moelayer_31,FlowSim_test,50.000000,1.000000,50.000000,382.597000,0.000000,382.597000,382.597000,15.314744,11.486058,0.000000,-nan,0.000000,382.597000,15.314744,11.486058,312105.498000
mlp_moelayer_32,FlowSim_test,100.000000,1.000000,100.000000,40.860000,0.000000,40.860000,40.860000,286.802490,250.952179,0.000000,-nan,0.000000,40.860000,286.802490,250.952179,312105.498000
mlp_moelayer_33,FlowSim_test,100.000000,1.000000,100.000000,40.860000,0.000000,40.860000,40.860000,286.802490,250.952179,0.000000,-nan,0.000000,40.860000,286.802490,250.952179,312105.498000
mlp_moelayer_34,FlowSim_test,50.000000,1.000000,50.000000,382.597000,0.000000,382.597000,382.597000,15.314744,11.486058,0.000000,-nan,0.000000,382.597000,15.314744,11.486058,312105.498000
mlp_moelayer_35,FlowSim_test,25.000000,1.000000,25.000000,8.747000,0.000000,8.747000,8.747000,167.468124,146.534607,0.000000,-nan,0.000000,8.747000,167.468124,146.534607,312105.498000
attention_column_6,FlowSim_test,245.117000,122.558000,122.558000,13.335000,0.000000,8.747000,13.335000,219.699097,192.236710,0.000000,-nan,0.000000,8.747000,167.468124,146.534607,312105.498000
attention_row_6,FlowSim_test,245.117000,122.558000,122.558000,13.335000,0.000000,13.335000,13.335000,219.699097,192.236710,0.000000,-nan,0.000000,13.335000,219.699097,192.236710,312105.498000
mlp_moelayer_36,FlowSim_test,1112.273000,1.000000,1112.273000,4.924000,0.000000,4.924000,4.924000,18.593163,16.269016,0.000000,-nan,0.000000,4.924000,18.593163,16.269016,312105.498000
mlp_moelayer_37,FlowSim_test,25.000000,1.000000,25.000000,8.747000,0.000000,8.747000,8.747000,167.468124,146.534607,0.000000,-nan,0.000000,8.747000,167.468124,146.534607,312105.498000
mlp_moelayer_38,FlowSim_test,50.000000,1.000000,50.000000,382.597000,0.000000,382.597000,382.597000,15.314744,11.486058,0.000000,-nan,0.000000,382.597000,15.314744,11.486058,312105.498000
mlp_moelayer_39,FlowSim_test,100.000000,1.000000,100.000000,40.860000,0.000000,40.860000,40.860000,286.802490,250.952179,0.000000,-nan,0.000000,40.860000,286.802490,250.952179,312105.498000
mlp_moelayer_40,FlowSim_test,100.000000,1.000000,100.000000,40.860000,0.000000,40.860000,40.860000,286.802490,250.952179,0.000000,-nan,0.000000,40.860000,286.802490,250.952179,312105.498000
mlp_moelayer_41,FlowSim_test,50.000000,1.000000,50.000000,382.597000,0.000000,382.597000,382.597000,15.314744,11.486058,0.000000,-nan,0.000000,382.597000,15.314744,11.486058,312105.498000
mlp_moelayer_42,FlowSim_test,25.000000,1.000000,25.000000,8.747000,0.000000,8.747000,8.747000,167.468124,146.534607,0.000000,-nan,0.000000,8.747000,167.468124,146.534607,312105.498000
attention_column_7,FlowSim_test,245.117000,122.558000,122.558000,13.335000,0.000000,8.747000,13.335000,219.699097,192.236710,0.000000,-nan,0.000000,8.747000,167.468124,146.534607,312105.498000
attention_row_7,FlowSim_test,245.117000,122.558000,122.558000,13.335000,0.000000,13.335000,13.335000,219.699097,192.236710,0.000000,-nan,0.000000,13.335000,219.699097,192.236710,312105.498000
mlp_moelayer_43,FlowSim_test,1112.273000,1.000000,1112.273000,4.924000,0.000000,4.924000,4.924000,18.593163,16.269016,0.000000,-nan,0.000000,4.924000,18.593163,16.269016,312105.498000
mlp_moelayer_44,FlowSim_test,25.000000,1.000000,25.000000,8.747000,0.000000,8.747000,8.747000,167.468124,146.534607,0.000000,-nan,0.000000,8.747000,167.468124,146.534607,312105.498000
mlp_moelayer_45,FlowSim_test,50.000000,1.000000,50.000000,382.597000,0.000000,382.597000,382.597000,15.314744,11.486058,0.000000,-nan,0.000000,382.597000,15.314744,11.486058,312105.498000
mlp_moelayer_46,FlowSim_test,100.000000,1.000000,100.000000,40.860000,0.000000,40.860000,40.860000,286.802490,250.952179,0.000000,-nan,0.000000,40.860000,286.802490,250.952179,312105.498000
