File name, Expose DP comm, Expose DP_EP comm, Expose TP comm, Expose_EP_comm, Expose_PP_comm, bubble time, total comp, total exposed comm, Total time
FlowSim_test, 0 (0.00%), 0 (0.00%), 0 (0.00%), 0 (0.00%), 0 (0.00%), 0 (0.00%), 556 (64.57%), 305 (35.43%), 861
layer_name,FlowSim_test,fwd compute,wg compute,ig compute,fwd exposed comm,wg exposed comm,ig exposed comm,fwd total comm,algbw,busbw,wg total comm,algbw,busbw,ig total comm,algbw,busbw,workload finished at
embedding_layer,FlowSim_test,556.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,inf,inf,0.000000,-nan,0.000000,0.000000,-nan,0.000000,861.115000
SUM,FlowSim_test,556.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NONE,NONE,0.000000,NONE,NONE,0.000000,NONE,NONE
total exposed comm,305.115000,total comp,556.000000,total time,861.115000
