File name, Expose DP comm, Expose DP_EP comm, Expose TP comm, Expose_EP_comm, Expose_PP_comm, bubble time, total comp, total exposed comm, Total time
test1, 0 (0.00%), 0 (0.00%), 10323 (90.28%), 0 (0.00%), 0 (0.00%), 0 (0.00%), 1112 (9.72%), 10323 (90.28%), 11435
layer_name,test1,fwd compute,wg compute,ig compute,fwd exposed comm,wg exposed comm,ig exposed comm,fwd total comm,algbw,busbw,wg total comm,algbw,busbw,ig total comm,algbw,busbw,workload finished at
embedding_layer,test1,556.000000,0.001000,0.001000,763.249000,0.000000,0.000000,763.249000,20.471695,38.384430,0.000000,-nan,0.000000,0.000000,-nan,0.000000,11434.701000
embedding_layer,test1,556.000000,0.001000,0.001000,9559.442000,0.000000,0.000000,9559.442000,26.152155,49.035290,0.000000,-nan,0.000000,0.000000,-nan,0.000000,11434.701000
SUM,test1,1112.000000,0.002000,0.002000,10322.691000,0.000000,0.000000,10322.691000,NONE,NONE,0.000000,NONE,NONE,0.000000,NONE,NONE
total exposed comm,10322.697000,total comp,1112.004000,total time,11434.701000
