File name, Expose DP comm, Expose DP_EP comm, Expose TP comm, Expose_EP_comm, Expose_PP_comm, bubble time, total comp, total exposed comm, Total time
test1, 0 (0.00%), 0 (0.00%), 12027 (91.54%), 0 (0.00%), 0 (0.00%), 0 (0.00%), 1112 (8.46%), 12027 (91.54%), 13139
layer_name,test1,fwd compute,wg compute,ig compute,fwd exposed comm,wg exposed comm,ig exposed comm,fwd total comm,algbw,busbw,wg total comm,algbw,busbw,ig total comm,algbw,busbw,workload finished at
embedding_layer,test1,556.000000,0.001000,0.001000,733.288000,0.000000,0.000000,733.288000,21.308136,39.952755,0.000000,-nan,0.000000,0.000000,-nan,0.000000,13138.819000
embedding_layer,test1,556.000000,0.001000,0.001000,11293.521000,0.000000,0.000000,11293.521000,22.136585,41.506096,0.000000,-nan,0.000000,0.000000,-nan,0.000000,13138.819000
SUM,test1,1112.000000,0.002000,0.002000,12026.809000,0.000000,0.000000,12026.809000,NONE,NONE,0.000000,NONE,NONE,0.000000,NONE,NONE
total exposed comm,12026.815000,total comp,1112.004000,total time,13138.819000
